Latitud,Longitud,Fecha,HoraUTC,Segundos,Satélites,HDOP,Roll,Pitch,Yaw,Servo1,Servo2,Servo3,Servo4,AltDiff,Presion,Temperatura
4.65,-69.1,2025-06-24,12:34:56,0,10,0.88,-1.64,20.18,309.67,7.73,118.4,11.91,41.1,4.8,1013.25,0
4.73726,-69.1008,2025-06-24,12:34:56,0.1,11,1.93,10.36,28.22,50.12,21.64,66.33,57.98,25.33,-3.78,1013.25,0
4.8245,-69.103,2025-06-24,12:34:56,0.2,9,1.48,29.62,7.73,264.61,177.82,133.73,120.27,33.63,2.81,1013.25,0
4.91168,-69.1069,2025-06-24,12:34:56,0.3,11,1.09,11.45,24.05,148.72,38.11,30.1,18.29,28.36,3.49,1013.25,0
4.99878,-69.1122,2025-06-24,12:34:56,0.4,8,1.68,15.4,-5.53,75.01,151.11,40.66,121.85,20.35,2.56,1013.25,0
5.08578,-69.119,2025-06-24,12:34:56,0.5,11,1.36,23.15,-9.96,312.95,109.21,31.3,71.14,123.76,-3.14,1013.25,0
5.17264,-69.1274,2025-06-24,12:34:56,0.6,11,1.71,-5.82,1.23,141.33,167.21,10.49,98.44,66.85,-1.78,1013.25,0
5.25935,-69.1373,2025-06-24,12:34:56,0.7,10,1.88,-3.75,14.42,108.77,123.69,133.07,102.93,1.84,-3.93,1013.25,0
5.34587,-69.1487,2025-06-24,12:34:56,0.8,8,1.65,24.89,20.2,209.42,90.41,120.9,82.61,89.34,3.94,1013.25,0
5.43217,-69.1616,2025-06-24,12:34:56,0.9,7,1.03,14.26,-6.04,20.67,151.29,62.7,72.38,161.34,-0.2,1013.25,0
5.51824,-69.176,2025-06-24,12:34:56,1,10,0.74,-12.6,-28.96,179.66,73.1,158.93,58.84,141.19,4.11,1013.25,0
5.60404,-69.1919,2025-06-24,12:34:56,1.1,11,0.69,-23.33,14.2,337.26,44.8,93.17,63.43,82,2.33,1013.25,0
5.68956,-69.2093,2025-06-24,12:34:56,1.2,6,1.28,-8.79,8.95,62.67,92.02,14.14,35.63,83.32,4.44,1013.25,0
5.77476,-69.2281,2025-06-24,12:34:56,1.3,7,1.07,-11.28,-22.39,107.57,35.28,61.38,161.56,163.51,4.01,1013.25,0
5.85961,-69.2485,2025-06-24,12:34:56,1.4,10,0.87,26.9,4.04,124.08,175.43,29.38,80.94,18,3.66,1013.25,0
5.9441,-69.2704,2025-06-24,12:34:56,1.5,9,0.51,25.89,25.55,163.53,101.18,99.68,119.21,76.1,-2.07,1013.25,0
6.02819,-69.2937,2025-06-24,12:34:56,1.6,9,1.52,-29.27,5.9,78.63,99.69,160.47,164.95,53.85,2.39,1013.25,0
6.11186,-69.3185,2025-06-24,12:34:56,1.7,11,0.59,19.72,20.89,272.43,159.12,12.17,85.03,155.08,3.18,1013.25,0
6.19508,-69.3447,2025-06-24,12:34:56,1.8,9,1.79,21.06,-6.66,52.48,139.38,144.59,11.38,136.2,1.37,1013.25,0
