Tiempo de grabación: 00:00:05
Latitud,Longitud,Fecha,Hora,Segundos,Satélites,HDOP,Roll,Pitch,Yaw,Servo1,Servo2,Servo3,Servo4,AltDiff,Presión,Temperatura
7.65908,-70.1068,2025-06-24,12:34:56,3.7,8,0.74,-15.68,-27.44,260.31,102.43,108.01,27.15,95.84,0.67,0,0
7.72831,-70.1599,2025-06-24,12:34:56,3.8,12,0.54,-26.86,12.77,33.6,171.95,135.52,121.55,116.29,1.46,0,0
7.7966,-70.2143,2025-06-24,12:34:56,3.9,11,1.21,24.97,26.27,32.9,80.23,169.32,37.43,14.75,4.25,0,0
7.86394,-70.2698,2025-06-24,12:34:56,4,12,1.39,-12.71,-11.6,160.67,109.96,100.24,155.35,67.08,1.84,0,0
7.9303,-70.3265,2025-06-24,12:34:56,4.1,12,0.9,21.89,11.2,45.52,97.28,33.67,84.56,148.57,-3.27,0,0
4.65,-69.1,2025-06-24,12:34:56,0,10,1.71,25.92,18.21,306.27,153.74,11.04,59.54,5.51,-2.99,0,0
4.73726,-69.1008,2025-06-24,12:34:56,0.1,9,1.91,0.81,10.62,7.58,76.61,65.54,16.44,21.61,2.7,0,0
4.8245,-69.103,2025-06-24,12:34:56,0.2,9,0.93,-22,4.27,220.37,157.95,168.39,152.41,93.64,-4.65,0,0
4.91168,-69.1069,2025-06-24,12:34:56,0.3,11,1.96,23.33,25.6,192.01,58.72,26.14,60.61,75.12,-3.94,0,0
4.99878,-69.1122,2025-06-24,12:34:56,0.4,7,0.81,11.75,-21.4,89.38,28.93,4.42,136.58,175.55,4.29,0,0
5.08578,-69.119,2025-06-24,12:34:56,0.5,7,1.35,2.18,-20.98,23.65,173.37,8.04,178.48,101.28,-4.71,0,0
5.17264,-69.1274,2025-06-24,12:34:56,0.6,9,0.55,-8.43,23.9,252.53,152.12,50.39,59.34,85.2,3.6,0,0
5.25935,-69.1373,2025-06-24,12:34:56,0.7,10,0.74,20.4,-7.96,97.7,87.96,28.67,82.11,102.25,-1.06,0,0
5.34587,-69.1487,2025-06-24,12:34:56,0.8,12,0.57,-3.41,-18.47,229.95,43.04,3.45,148.57,125.6,1.68,0,0
5.43217,-69.1616,2025-06-24,12:34:56,0.9,6,1.06,-29.58,-25.56,74.62,90.08,167.24,64.1,86.49,-0.26,0,0
5.51824,-69.176,2025-06-24,12:34:56,1,12,0.61,1.29,-22.69,335.5,124.32,134.65,53.96,67.78,1.91,0,0
5.60404,-69.1919,2025-06-24,12:34:56,1.1,7,1.14,12.66,-12.74,211.79,42.11,7.63,164.3,33.87,-4.24,0,0
5.68956,-69.2093,2025-06-24,12:34:56,1.2,10,1.7,-25.11,24.27,154.68,60.83,63.78,15.92,176.38,0.23,0,0
5.77476,-69.2281,2025-06-24,12:34:56,1.3,12,1.28,-18.92,-28.2,350.29,105.57,126.72,104.19,18.82,3.55,0,0
5.85961,-69.2485,2025-06-24,12:34:56,1.4,8,0.64,-17.53,-29.14,157.44,130.81,103.32,51.98,112.89,-4.77,0,0
5.9441,-69.2704,2025-06-24,12:34:56,1.5,9,0.84,12.18,19.26,180.81,74.37,34.3,73.05,40.06,4.88,0,0
6.02819,-69.2937,2025-06-24,12:34:56,1.6,10,1.69,12.5,-23.2,109.95,36.62,126.37,149.18,2.07,-4.91,0,0
6.11186,-69.3185,2025-06-24,12:34:56,1.7,12,1.18,29.48,-16.08,13.07,32.64,156.19,127.04,31.88,4.1,0,0
6.19508,-69.3447,2025-06-24,12:34:56,1.8,11,1.88,-23.42,14.2,98.03,147.84,137.28,70.82,164.28,4.67,0,0
6.27784,-69.3724,2025-06-24,12:34:56,1.9,6,0.97,10.61,-8.01,89.07,118.87,69.78,167.1,82.85,-2.35,0,0
6.3601,-69.4015,2025-06-24,12:34:56,2,11,1.46,-18.51,0.35,119.05,6.68,143.52,166.4,126.6,3.22,0,0
6.44184,-69.4321,2025-06-24,12:34:56,2.1,7,1.9,17.55,21.91,315.43,96.36,130.35,42.25,42.24,4.4,0,0
6.52303,-69.4641,2025-06-24,12:34:56,2.2,11,0.62,-2.48,17.46,187.26,105.46,79.02,88.73,164.72,0.33,0,0
6.60366,-69.4975,2025-06-24,12:34:56,2.3,10,1.79,3.18,-11.32,302.82,145.87,22.33,106.78,51.13,0.25,0,0
